1,1,4,2,2,0
1,1,4,2,3,0
8,1,4,2,2,1
9,1,4,2,3,1
10,1,4,2,3,1
11,1,4,2,2,0
12,1,4,2,3,0
13,1,4,2,3,0
18,1,4,2,2,0
21,1,4,2,3,0
25,1,4,2,2,1
31,1,4,2,3,1
44,1,4,2,2,1
46,1,4,2,2,1
48,1,4,2,2,0
51,1,4,2,3,1
52,1,4,2,2,1
54,1,4,2,3,1
58,1,4,2,3,1
60,1,4,2,2,1
61,1,4,2,2,1
63,1,4,2,2,1
64,1,4,2,2,0
65,1,4,2,2,1
66,1,4,2,2,1
71,1,4,2,2,0
76,1,4,2,3,1
80,1,4,2,2,1
83,1,4,2,2,0
85,1,4,2,2,1
87,1,4,2,2,1
89,1,4,2,3,0
96,1,4,2,2,0
103,1,4,2,2,0
104,1,4,2,3,0
106,1,4,2,3,1
111,1,4,2,3,0
114,1,4,2,3,0
115,1,4,2,2,0
116,1,4,2,2,1
119,1,4,2,2,0
120,1,4,2,3,0
123,1,4,2,3,0
133,1,4,2,2,0
135,1,4,2,3,0
137,1,4,2,3,0
139,1,4,2,3,0
140,1,4,2,2,0
144,1,4,2,2,0
145,1,4,2,3,0
147,1,4,2,2,1
150,1,4,2,3,1
